Модель,MAE,RMSE,ME (bias),Std,±0.3 %,±0.5 %,vs Ridge %
Ridge Extended v2,0.3133953449250555,0.43324066892306706,0.07501141677806966,0.43311437341384446,64.70588235294117,79.41176470588235,-0.7145964848109698
NGBoost,0.3147913070843311,0.43284966301073907,0.03191306178217032,0.4381632865244426,64.70588235294117,76.47058823529412,-0.27234784098137954
Ridge baseline,0.3156509757016913,0.4366454809543194,0.07948261101407017,0.4358071883877126,67.64705882352942,76.47058823529412,0.0
ElasticNet,0.3199556484736151,0.43758318841690147,0.075601722241797,0.4374844238575113,64.70588235294117,76.47058823529412,1.363744484665208
Constrained Comp,0.3313729462479023,0.44618127060206914,0.04185634488920944,0.45089393597178207,58.82352941176471,76.47058823529412,4.98080847406257
Huber,0.3350339831977193,0.45285818024149954,0.08686677214872376,0.4511325693916651,61.76470588235294,73.52941176470588,6.140645519292187
Quantile Ridge,0.3388769230289287,0.46284527269952325,0.0722377343034428,0.46404850552704086,61.76470588235294,76.47058823529412,7.358110417877262
Ridge v3 (dummy),0.34097399786392446,0.44229685743971076,0.05947244403114006,0.44487125509312037,50.0,76.47058823529412,8.02247549082975
ETS,0.4117994982474946,0.5150915257850155,0.017397138133763274,0.5225394015501799,38.23529411764706,61.76470588235294,30.460391364881858
