Date,Sub_MoM,Agg_Arith,Agg_Sprav,Diff_Arith,Diff_Sprav,Year
2010-01-01,9.75,8.916889472427787,8.916889472427787,0.833110527572213,0.833110527572213,2010
2010-02-01,9.27,8.077710670804489,8.077710670804489,1.1922893291955106,1.1922893291955106,2010
2010-03-01,4.07,4.379703986631654,4.379703986631654,-0.30970398663165355,-0.30970398663165355,2010
2010-04-01,2.65,1.9728049653855333,1.9728049653855333,0.6771950346144666,0.6771950346144666,2010
2010-05-01,12.5,8.297956552876583,8.297956552876583,4.202043447123417,4.202043447123417,2010
2010-06-01,5.13,5.031706851277154,5.031706851277154,0.09829314872284556,0.09829314872284556,2010
2010-07-01,-15.45,-9.506858438768203,-9.506858438768203,-5.943141561231796,-5.943141561231796,2010
2010-08-01,-4.63,-2.6450919073764627,-2.6450919073764627,-1.9849080926235372,-1.9849080926235372,2010
2010-09-01,21.24,11.040121747433755,11.040121747433755,10.199878252566243,10.199878252566243,2010
2010-10-01,-1.85,-1.1957412270231558,-1.1957412270231558,-0.6542587729768443,-0.6542587729768443,2010
2010-11-01,3.58,4.119868703747911,4.119868703747911,-0.5398687037479108,-0.5398687037479108,2010
2010-12-01,12.76,9.790864168059203,9.790864168059203,2.9691358319407968,2.9691358319407968,2010
2011-01-01,15.28,14.710995464311292,14.710995464311292,0.5690045356887072,0.5690045356887072,2011
2011-02-01,2.48,2.8906755788971115,2.8906755788971115,-0.4106755788971115,-0.4106755788971115,2011
2011-03-01,-0.13,0.13403437574600136,0.13403437574600136,-0.26403437574600136,-0.26403437574600136,2011
2011-04-01,-1.57,-1.3168799236094535,-1.3168799236094535,-0.25312007639054657,-0.25312007639054657,2011
2011-05-01,0.73,0.9800214848412505,0.9800214848412505,-0.25002148484125053,-0.25002148484125053,2011
2011-06-01,-11.8,-7.827646216280735,-7.827646216280735,-3.9723537837192655,-3.9723537837192655,2011
2011-07-01,-11.0,-9.969021246120791,-9.969021246120791,-1.030978753879209,-1.030978753879209,2011
2011-08-01,-19.31,-16.486445452375268,-16.486445452375268,-2.823554547624731,-2.823554547624731,2011
2011-09-01,-4.25,-3.265853425638577,-3.265853425638577,-0.9841465743614228,-0.9841465743614228,2011
2011-10-01,-4.02,-3.706388159465266,-3.706388159465266,-0.3136118405347337,-0.3136118405347337,2011
2011-11-01,3.37,3.811234184769634,3.811234184769634,-0.44123418476963394,-0.44123418476963394,2011
2011-12-01,3.73,3.868598710909525,3.868598710909525,-0.13859871090952502,-0.13859871090952502,2011
2012-01-01,3.82,5.436190021484841,5.436190021484841,-1.6161900214848415,-1.6161900214848415,2012
2012-02-01,6.4,6.373695392695153,6.373695392695153,0.02630460730484696,0.02630460730484696,2012
2012-03-01,-0.15,0.39940558605872484,0.39940558605872484,-0.5494055860587248,-0.5494055860587248,2012
2012-04-01,-3.43,-2.9004893769396034,-2.9004893769396034,-0.5295106230603968,-0.5295106230603968,2012
2012-05-01,21.78,16.265287658152303,16.265287658152303,5.514712341847698,5.514712341847698,2012
2012-06-01,1.01,1.9340988302697537,1.9340988302697537,-0.9240988302697537,-0.9240988302697537,2012
2012-07-01,-3.53,-2.6083647648603487,-2.6083647648603487,-0.9216352351396511,-0.9216352351396511,2012
2012-08-01,-10.63,-8.292728574838863,-8.292728574838863,-2.3372714251611377,-2.3372714251611377,2012
2012-09-01,-4.99,-4.129431845309142,-4.129431845309142,-0.8605681546908581,-0.8605681546908581,2012
2012-10-01,-2.61,-0.9331272380042969,-0.9331272380042969,-1.676872761995703,-1.676872761995703,2012
2012-11-01,-4.58,-3.092229649080926,-3.092229649080926,-1.487770350919074,-1.487770350919074,2012
2012-12-01,2.08,2.9900811649558374,2.9900811649558374,-0.9100811649558374,-0.9100811649558374,2012
2013-01-01,5.29,4.436101694915254,4.436101694915254,0.853898305084746,0.853898305084746,2013
2013-02-01,3.82,3.780706612556696,3.780706612556696,0.03929338744330391,0.03929338744330391,2013
2013-03-01,0.91,0.3179040343757459,-0.23194599807135982,0.5920959656242542,1.1419459980713598,2013
2013-04-01,15.53,11.939510623060396,10.679228543876567,3.590489376939603,4.850771456123432,2013
2013-05-01,18.72,11.755927428980664,3.7807020250723244,6.964072571019335,14.939297974927674,2013
2013-06-01,-1.25,0.6515492957746476,-6.371444551591128,-1.9015492957746476,5.121444551591128,2013
2013-07-01,-11.58,-6.114612079255192,-9.191315332690452,-5.465387920744808,-2.3886846673095476,2013
2013-08-01,-13.52,-10.94926951539747,-7.495944069431053,-2.57073048460253,-6.024055930568947,2013
2013-09-01,-4.06,-3.186875149200287,5.736011571841851,-0.8731248507997127,-9.79601157184185,2013
2013-10-01,7.16,3.1844569109572682,11.15988042430087,3.975543089042732,-3.999880424300869,2013
2013-11-01,0.2,0.5123633325375991,4.653934426229507,-0.3123633325375991,-4.453934426229507,2013
2013-12-01,2.65,2.8788183337312003,5.2273712632594025,-0.22881833373120042,-2.5773712632594026,2013
2014-01-01,2.96,3.405662449271902,2.6262121504339433,-0.4456624492719019,0.33378784956605667,2014
2014-02-01,4.86,4.671484841250896,3.531297974927677,0.1885151587491043,1.3287020250723232,2014
2014-03-01,3.28,3.5809357841967064,2.977805207328834,-0.30093578419670663,0.30219479267116567,2014
2014-04-01,3.31,4.09299116734304,2.0597936354869812,-0.7829911673430403,1.2502063645130188,2014
2014-05-01,6.71,7.214528527094772,0.9359054966248795,-0.5045285270947719,5.77409450337512,2014
2014-06-01,-6.69,-3.2553640486989726,-7.553035679845709,-3.434635951301028,0.8630356798457086,2014
2014-07-01,-14.55,-9.577715445213656,-10.668117647058823,-4.972284554786345,-3.8818823529411777,2014
2014-08-01,-8.67,-8.55976366674624,-7.573755062680812,-0.11023633325375926,-1.096244937319188,2014
2014-09-01,6.27,5.897798997374076,7.6677010607521705,0.3722010026259239,-1.397701060752171,2014
2014-10-01,6.52,4.3188422057770355,14.030009643201543,2.201157794222964,-7.510009643201544,2014
2014-11-01,5.67,3.662112676056337,9.89330568948891,2.0078873239436628,-4.22330568948891,2014
2014-12-01,7.64,8.425084745762712,9.657024108003858,-0.7850847457627124,-2.0170241080038585,2014
2015-01-01,21.7,20.362470756743853,21.04967598842816,1.3375292432561459,0.6503240115718398,2015
2015-02-01,8.47,11.34805920267367,9.43915911282546,-2.87805920267367,-0.9691591128254586,2015
2015-03-01,2.3,4.293864884220578,3.1046422372227584,-1.993864884220578,-0.8046422372227586,2015
2015-04-01,-0.75,0.7425089520171881,-1.317234329797492,-1.4925089520171881,0.567234329797492,2015
2015-05-01,0.45,3.3862019575077573,-2.582455159112826,-2.936201957507757,3.032455159112826,2015
2015-06-01,-5.7,-2.3937622344234906,-8.931500482160077,-3.3062377655765096,3.231500482160077,2015
2015-07-01,-10.77,-8.642060157555504,-12.76585149469624,-2.127939842444496,1.9958514946962396,2015
2015-08-01,-12.17,-10.129589400811648,-8.96420443587271,-2.040410599188352,-3.205795564127289,2015
2015-09-01,1.7,1.0780305562186678,3.8701851494696236,0.6219694437813321,-2.1701851494696234,2015
2015-10-01,3.98,0.7006063499641925,18.258399228543873,3.2793936500358076,-14.278399228543872,2015
2015-11-01,1.89,-0.4612174743375507,6.185587270973963,2.3512174743375507,-4.2955872709739635,2015
2015-12-01,6.6,3.724521365481021,9.770594021215045,2.8754786345189784,-3.170594021215045,2015
2016-01-01,6.22,5.012855096681785,8.143184185149469,1.2071449033182144,-1.923184185149469,2016
2016-02-01,3.82,4.791129147767963,3.644703953712633,-0.9711291477679631,0.17529604628736672,2016
2016-03-01,-2.03,0.29433038911434667,-2.9738341369334624,-2.3243303891143463,0.9438341369334626,2016
2016-04-01,2.57,4.9255836715206485,3.315810993249759,-2.3555836715206486,-0.745810993249759,2016
2016-05-01,-0.24,6.049264740988301,-2.615126325940212,-6.289264740988301,2.3751263259402124,2016
2016-06-01,-5.07,-4.519577464788731,-7.433107039537125,-0.5504225352112693,2.363107039537125,2016
2016-07-01,-5.63,-3.031702076867987,-3.862094503375121,-2.5982979231320127,-1.7679054966248788,2016
2016-08-01,-4.57,-6.182571019336355,-5.947868852459017,1.6125710193363547,1.3778688524590166,2016
2016-09-01,-1.96,-2.5827619957030326,-4.7661735776277725,0.6227619957030326,2.8061735776277725,2016
2016-10-01,5.6,3.0098257340654095,10.642732883317263,2.59017426593459,-5.042732883317264,2016
2016-11-01,-1.06,-1.6206397708283597,7.181818707810993,0.5606397708283597,-8.241818707810992,2016
2016-12-01,3.66,1.2931153019813793,7.282397299903568,2.366884698018621,-3.622397299903568,2016
