Region_code,Inflation,Region_Name
5,0.9129437259045343,Dagestan
15,0.702526259058527,North Ossetia
30,0.7017029021535264,Astrakhan
26,0.6243685572422895,Stavropol
6,0.5716074851808415,Ingushetia
92,0.5546933599349815,Sevastopol
7,0.5511493003468457,KBR
20,0.5040125494511372,Chechnya
9,0.501961879696158,Karachay-Cherkessia
23,0.4784307002162957,Krasnodar
61,0.41335874799676686,Rostov
1,0.39032892112507767,Adygea
34,0.3753055818634704,Volgograd
