Date,MoM,Type
2025-11-01,2.940595238095243,NOWCAST (Weekly)
2025-12-01,1.5648922337369697,MODEL
2026-01-01,1.052957076748072,MODEL
2026-02-01,0.7794963085748492,MODEL
2026-03-01,0.7124248457814133,MODEL
2026-04-01,0.7959754948606701,MODEL
2026-05-01,0.47505149020746273,MODEL
2026-06-01,0.2127351547687084,MODEL
2026-07-01,0.38256323088917554,MODEL
2026-08-01,0.020247740315369356,MODEL
2026-09-01,0.49894470129738977,MODEL
2026-10-01,0.5878343107762731,MODEL
