model,mae,rmse,vs_ridge,ci_coverage,ci_width
Deep Ensemble,0.305226778913055,0.42794389053914417,-3.3024440255454146,35.294117647058826,0.21832818685995228
NGBoost,0.30620022230024885,0.42635614545919237,-2.994051699169775,14.705882352941178,0.11279737369891428
Conformal,0.30988247219078474,0.43061221872735256,-1.8274942753093715,91.17647058823529,1.3134295072696067
Ridge Extended,0.3133953449250555,0.43324066892306706,-0.7145964848109698,,
XGBoost,0.314982621229491,0.4342751314193628,-0.21173844646434903,,
Ridge baseline,0.3156509757016913,0.4366454809543194,0.0,,
DMA,0.32588108417098527,0.44094452665959094,3.24095575708343,,
