Feature,Horizon,Pearson_r,P_value,Abs_r,N,Significant
ibved_q_MA3,h=1,0.5229140091431165,1.0674179237401544e-06,0.5229140091431165,77,True
ki_i,h=1,0.5149799549470745,2.4264903281864094e-09,0.5149799549470745,118,True
ki_i_L0,h=1,0.5149799549470745,2.4264903281864094e-09,0.5149799549470745,118,True
ibved_q_L1,h=1,0.4937954141244712,3.756956588212213e-06,0.4937954141244712,79,True
Ruonia_D1,h=1,0.4924435467171435,1.7055023199072152e-08,0.4924435467171435,117,True
ibved_q_L2,h=1,0.49203377829592476,4.758108360794291e-06,0.49203377829592476,78,True
brent_STD3,h=1,0.4606850032395253,7.71106151320807e-05,0.4606850032395253,68,True
Ruonia_D3,h=1,0.4357239357916968,1.1328040563459912e-06,0.4357239357916968,115,True
mom_L0,h=1,0.4356562942632578,8.195581883128981e-07,0.4356562942632578,118,True
prod,h=1,0.43110351314474005,1.0969265772202235e-06,0.43110351314474005,118,True
prod_L0,h=1,0.43110351314474005,1.0969265772202235e-06,0.43110351314474005,118,True
reg_services_L7,h=1,0.42432504824962214,1.2030035189370018e-05,0.42432504824962214,99,True
prod_D6,h=1,0.41786012860169475,4.558593231182221e-06,0.41786012860169475,112,True
reg_construction_MA6,h=1,-0.40066612346064384,1.0952217200615672e-05,0.40066612346064384,113,True
mom_D3,h=1,0.4001056747922752,9.41028849761807e-06,0.4001056747922752,115,True
ki_i_MA3,h=1,0.39644706085675485,1.0551928061663952e-05,0.39644706085675485,116,True
reg_ind_prod_MA3,h=1,-0.3893330075224955,1.563566128616813e-05,0.3893330075224955,116,True
mom_D6,h=1,0.38511603178342835,2.7544942801309383e-05,0.38511603178342835,112,True
ki_i_D3,h=1,0.38138532200215597,2.607274907927517e-05,0.38138532200215597,115,True
month_cos,h=1,0.3785287535840913,2.3737915742028773e-05,0.3785287535840913,118,True
nonprod_L0,h=1,0.37634102080372,2.6682432143524208e-05,0.37634102080372,118,True
nonprod,h=1,0.37634102080372,2.6682432143524208e-05,0.37634102080372,118,True
usd_MA3,h=1,-0.37148496964743866,4.0326162289330296e-05,0.37148496964743866,116,True
prod_D3,h=1,0.3700592641231977,4.689763087416745e-05,0.3700592641231977,115,True
nonprod_D3,h=1,0.3655647945864955,5.884800943705326e-05,0.3655647945864955,115,True
reg_retail_STD3,h=1,0.3426695320251539,0.00016631155051898187,0.3426695320251539,116,True
reg_services_L8,h=1,0.3425348029855095,0.0005554664379339234,0.3425348029855095,98,True
ibved_q,h=1,0.3412534620046966,0.0020858102029364736,0.3412534620046966,79,True
ibved_q_L0,h=1,0.3412534620046966,0.0020858102029364736,0.3412534620046966,79,True
ki_i_D12,h=1,0.33213900605337465,0.0005045557423217338,0.33213900605337465,106,True
brent_MA6,h=1,0.31568728278317026,0.08363129358464753,0.31568728278317026,31,False
reg_services_L10,h=1,0.3141214573645554,0.0018287313875186176,0.3141214573645554,96,True
ki_D6,h=1,0.3064946708140112,0.0010136077513323042,0.3064946708140112,112,True
brent_MA3,h=1,0.30316816147538944,0.011967952702342915,0.30316816147538944,68,True
prod_L11,h=1,0.3031670371495232,0.0015024868325865688,0.3031670371495232,107,True
ibved_m_L4,h=1,0.2986839026579714,0.05468238881011446,0.2986839026579714,42,False
reg_shipped_STD3,h=1,0.2974306556908898,0.0011851014518335732,0.2974306556908898,116,True
ki_i_D6,h=1,0.2970150557569404,0.001472067004731131,0.2970150557569404,112,True
ibved_m_MA6,h=1,0.2960493354069497,0.060191065192508934,0.2960493354069497,41,False
nonprod_D12,h=1,0.29428948986688613,0.002198041826327167,0.29428948986688613,106,True
brent_D3,h=1,0.29361941347308784,0.005776467724554256,0.29361941347308784,87,True
Ruonia_D6,h=1,0.28507666975120594,0.002314431166975675,0.28507666975120594,112,True
usd,h=1,-0.2775488702883863,0.0023432953871765343,0.2775488702883863,118,True
usd_L0,h=1,-0.2775488702883863,0.0023432953871765343,0.2775488702883863,118,True
ki_STD3,h=1,0.2764302108626998,0.0026666495160235933,0.2764302108626998,116,True
reg_housing_secondary_L10,h=1,0.2757791323742162,0.0042182531064973595,0.2757791323742162,106,True
nonprod_D1,h=1,0.2744529534578213,0.0027488412167189597,0.2744529534578213,117,True
reg_housing_secondary_L11,h=1,0.27363046156097265,0.004736484162398857,0.27363046156097265,105,True
Ruonia_D12,h=1,0.27176362970427365,0.004831716016575998,0.27176362970427365,106,True
usd_MA6,h=1,-0.2703844945862833,0.0037744391369010383,0.2703844945862833,113,True
mom_D12,h=1,0.2687085498337905,0.005350481964167739,0.2687085498337905,106,True
mom_D1,h=1,0.26267282931143976,0.004220987293701582,0.26267282931143976,117,True
usd_L1,h=1,-0.2613385812927557,0.004425899929704486,0.2613385812927557,117,True
reg_profit_MA6,h=1,-0.2583438363816817,0.005731454508693278,0.2583438363816817,113,True
ki_i_D1,h=1,0.25821286205296295,0.0049411773447075305,0.25821286205296295,117,True
ki_L3,h=1,0.25586529284901766,0.005780584162812993,0.25586529284901766,115,True
ibved_q_MA6,h=1,0.25204165916586924,0.030285472694416588,0.25204165916586924,74,True
prod_MA3,h=1,0.2519268072280725,0.0063700653297130315,0.2519268072280725,116,True
brent_D12,h=1,0.24126466406890398,0.03453280294907126,0.24126466406890398,77,True
ki_i_MA6,h=1,0.2397950372063813,0.010522977165268208,0.2397950372063813,113,True
prod_L10,h=1,0.23598699323234873,0.013942407177080103,0.23598699323234873,108,True
ki_L2,h=1,0.2349892071571415,0.011111799053243849,0.2349892071571415,116,True
reg_construction_MA3,h=1,-0.23467761019531025,0.011222318624491395,0.23467761019531025,116,True
ki_L4,h=1,0.23439209357449764,0.01206923101742684,0.23439209357449764,114,True
brent,h=1,0.2341082675156829,0.017872532036267572,0.2341082675156829,102,True
brent_L0,h=1,0.2341082675156829,0.017872532036267572,0.2341082675156829,102,True
nonprod_D6,h=1,0.2310298473512601,0.014253390760239041,0.2310298473512601,112,True
reg_housing_secondary_L9,h=1,0.2292023390349203,0.01756105755496457,0.2292023390349203,107,True
prod_L12,h=1,0.22820150166395578,0.018634932144968953,0.22820150166395578,106,True
reg_services_L9,h=1,0.22807255734934304,0.024650585805014887,0.22807255734934304,97,True
reg_retail_L6,h=1,0.22779049593425485,0.015713203869428566,0.22779049593425485,112,True
