horizon,period,model,N_planned,N_valid,N_common,success_rate,MAE_common,RMSE_common,hit_within_0_5pp
1,all,Ridge,24,24,24,1.0,0.38443805094474,0.47890581088741196,0.7083333333333334
1,all,Huber,24,24,24,1.0,0.37941493083198924,0.4725552906144441,0.7083333333333334
1,all,Ridge_ProdProxy,24,24,24,1.0,0.37052917175404393,0.46242247424972266,0.75
1,all,MicroParentRidge,24,24,24,1.0,0.4110920378772492,0.4917949235052788,0.625
1,all,MicroParentSeasonal,24,24,24,1.0,0.4103580536075811,0.4889999555506151,0.625
1,development,Ridge,12,12,12,1.0,0.37214148830290367,0.4605146758636098,0.75
1,development,Huber,12,12,12,1.0,0.3516522906963561,0.43954019728438176,0.75
1,development,Ridge_ProdProxy,12,12,12,1.0,0.33698667869080384,0.4358005638995957,0.75
1,development,MicroParentRidge,12,12,12,1.0,0.32067008270217956,0.4131751301083665,0.75
1,development,MicroParentSeasonal,12,12,12,1.0,0.31556731397387955,0.40547921633347067,0.75
1,validation,Ridge,12,12,12,1.0,0.3967346135865763,0.49661633553246487,0.6666666666666666
1,validation,Huber,12,12,12,1.0,0.4071775709676224,0.5034097936538483,0.6666666666666666
1,validation,Ridge_ProdProxy,12,12,12,1.0,0.40407166481728396,0.48759302485501693,0.75
1,validation,MicroParentRidge,12,12,12,1.0,0.5015139930523188,0.559473686093511,0.5
1,validation,MicroParentSeasonal,12,12,12,1.0,0.5051487932412827,0.5602039969320118,0.5
2,all,Ridge,24,24,24,1.0,0.4355784391270798,0.5076244158757401,0.5833333333333334
2,all,Huber,24,24,24,1.0,0.4436573239799297,0.5251392168472192,0.5833333333333334
2,all,Ridge_ProdProxy,24,24,24,1.0,0.4287550191387612,0.5094268967370044,0.625
2,all,MicroParentRidge,24,24,24,1.0,0.43021995697274035,0.5088713078146583,0.5416666666666666
2,all,MicroParentSeasonal,24,24,24,1.0,0.42826735704251256,0.5055085739688137,0.5833333333333334
2,development,Ridge,12,12,12,1.0,0.3773144903077726,0.46008465426184386,0.75
2,development,Huber,12,12,12,1.0,0.3456838515903004,0.4383732474414797,0.8333333333333334
2,development,Ridge_ProdProxy,12,12,12,1.0,0.3384447929123932,0.42971168546187977,0.8333333333333334
2,development,MicroParentRidge,12,12,12,1.0,0.3365661818868109,0.4285454121055472,0.6666666666666666
2,development,MicroParentSeasonal,12,12,12,1.0,0.33122655204594365,0.41976649366960955,0.75
2,validation,Ridge,12,12,12,1.0,0.4938423879463869,0.5510782213979539,0.4166666666666667
2,validation,Huber,12,12,12,1.0,0.5416307963695589,0.5994758461101103,0.3333333333333333
2,validation,Ridge_ProdProxy,12,12,12,1.0,0.5190652453651291,0.578255474349962,0.4166666666666667
2,validation,MicroParentRidge,12,12,12,1.0,0.5238737320586698,0.5781425824113703,0.4166666666666667
2,validation,MicroParentSeasonal,12,12,12,1.0,0.5253081620390815,0.5786829248425159,0.4166666666666667
12,all,Ridge,24,24,24,1.0,0.422994746132104,0.5016147987117943,0.625
12,all,Huber,24,24,24,1.0,0.42051101806254404,0.5093997073938984,0.5833333333333334
12,all,Ridge_ProdProxy,24,24,24,1.0,0.43562355659652735,0.5238011830515424,0.625
12,all,MicroParentRidge,24,24,24,1.0,0.4296784005123495,0.5089914883255492,0.625
12,all,MicroParentSeasonal,24,24,24,1.0,0.4228055833493687,0.5030826058214396,0.5416666666666666
12,development,Ridge,12,12,12,1.0,0.35256230792722576,0.436200006407628,0.75
12,development,Huber,12,12,12,1.0,0.32370835429466044,0.43518359520315436,0.75
12,development,Ridge_ProdProxy,12,12,12,1.0,0.37712175746290794,0.4835658401190323,0.6666666666666666
12,development,MicroParentRidge,12,12,12,1.0,0.33634819979980435,0.4256874502273767,0.6666666666666666
12,development,MicroParentSeasonal,12,12,12,1.0,0.3239019197931981,0.4086561140128611,0.6666666666666666
12,validation,Ridge,12,12,12,1.0,0.49342718433698235,0.5594321826489187,0.5
12,validation,Huber,12,12,12,1.0,0.5173136818304277,0.5741004809717857,0.4166666666666667
12,validation,Ridge_ProdProxy,12,12,12,1.0,0.49412535573014676,0.5611590122259158,0.5833333333333334
12,validation,MicroParentRidge,12,12,12,1.0,0.5230086012248948,0.5804609074646029,0.5833333333333334
12,validation,MicroParentSeasonal,12,12,12,1.0,0.5217092469055394,0.5823953957923151,0.4166666666666667
