cutoff,reconstructed_mom,actual_mom,weight_vintage
2023-08-01,0.1694326831899997,-0.06999999999999318,2023-01-01
2023-09-01,1.9357106991299953,1.75,2023-01-01
2023-10-01,0.5628847020800006,0.45999999999999375,2023-01-01
2023-11-01,0.8520547988400017,0.7399999999999949,2023-01-01
2023-12-01,0.30285772586000037,0.29000000000000625,2023-01-01
2024-01-01,0.8208189728299989,0.8700000000000045,2024-01-01
2024-02-01,0.47128620286999934,0.5300000000000011,2024-01-01
2024-03-01,0.4577749969900013,0.5300000000000011,2024-01-01
2024-04-01,0.4790763287199997,0.37999999999999545,2024-01-01
2024-05-01,0.8148160023299988,0.9399999999999977,2024-01-01
2024-06-01,0.09759748983000119,0.18000000000000682,2024-01-01
2024-07-01,1.1477072361200011,1.0699999999999932,2024-01-01
2024-08-01,0.1940195863499995,0.09000000000000341,2024-01-01
2024-09-01,0.8879073020300003,0.6200000000000045,2024-01-01
2024-10-01,1.036926494249998,1.019999999999996,2024-01-01
2024-11-01,1.6916855483799995,1.5,2024-01-01
2024-12-01,1.0667380332499985,0.9099999999999966,2024-01-01
2025-01-01,0.7982544476700004,0.8400000000000034,2025-01-01
2025-02-01,1.15145784703,1.3400000000000034,2025-01-01
2025-03-01,0.7727586964699997,0.8100000000000023,2025-01-01
2025-04-01,0.42844584054000073,0.5300000000000011,2025-01-01
2025-05-01,-0.2752707134700004,-0.06999999999999318,2025-01-01
2025-06-01,-0.12530928844999997,-0.04000000000000625,2025-01-01
2025-07-01,0.51086597128,0.35999999999999943,2025-01-01
2025-08-01,-0.31004610328000043,-0.5699999999999932,2025-01-01
2025-09-01,1.259425564460001,1.0,2025-01-01
2025-10-01,0.6952330423799999,0.5300000000000011,2025-01-01
2025-11-01,0.24205276749000018,0.15000000000000568,2025-01-01
2025-12-01,0.39622811918000006,0.29000000000000625,2025-01-01
2026-01-01,1.54924159635,1.5699999999999932,2026-01-01
2026-02-01,1.0393361171300006,1.0999999999999943,2026-01-01
2026-03-01,0.44700952121999976,0.5400000000000063,2026-01-01
2026-04-01,-0.17578867171999984,-0.28000000000000114,2026-01-01
2026-05-01,0.062174812020000025,0.09000000000000341,2026-01-01
2026-06-01,0.8987811456300006,1.0600000000000023,2026-01-01
