period_type,date,item_key,product_name,component,matched,match_method,match_score,item_code,sprav_name,weight,index_used,item_mom_pp,headline_contribution_pp
weekly_chain,2026-06-01 00:00:00,25,"Соль поваренная пищевая, кг",food,True,exact,1.0,593,"Соль поваренная пищевая, кг",0.00122,100.28,0.28000000000000114,0.00034160000000000136
weekly_chain,2026-06-01 00:00:00,26,"Мука пшеничная, кг",food,True,exact,1.0,388,"Мука пшеничная, кг",0.00424,100.22,0.21999999999999886,0.0009327999999999951
weekly_chain,2026-06-01 00:00:00,27,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",food,True,exact,1.0,710,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",0.00255,100.11,0.10999999999999943,0.0002804999999999986
weekly_chain,2026-06-01 00:00:00,28,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",food,True,exact,1.0,1054,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",0.00735,100.17,0.1700000000000017,0.0012495000000000125
weekly_chain,2026-06-01 00:00:00,29,"Рис шлифованный, кг",food,True,exact,1.0,552,"Рис шлифованный, кг",0.00479,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,3,"Баранина (кроме бескостного мяса), кг",food,True,exact,1.0,122,"Баранина (кроме бескостного мяса), кг",0.00651,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,30,"Пшено, кг",food,True,exact,1.0,539,"Пшено, кг",0.00118,99.87,-0.12999999999999545,-0.00015339999999999465
weekly_chain,2026-06-01 00:00:00,31,"Крупа гречневая-ядрица, кг",food,True,exact,1.0,320,"Крупа гречневая-ядрица, кг",0.00337,96.01,-3.989999999999995,-0.013446299999999984
weekly_chain,2026-06-01 00:00:00,32,"Вермишель, кг",food,True,exact,1.0,158,"Вермишель, кг",0.00142,100.43,0.4300000000000068,0.0006106000000000097
weekly_chain,2026-06-01 00:00:00,33,"Макаронные изделия из пшеничной муки высшего сорта, кг",food,True,exact,1.0,354,"Макаронные изделия из пшеничной муки высшего сорта, кг",0.00382,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,34,"Картофель, кг",food,True,exact,1.0,252,"Картофель, кг",0.00612,98.68,-1.3199999999999932,-0.008078399999999958
weekly_chain,2026-06-01 00:00:00,35,"Капуста белокочанная свежая, кг",food,True,exact,1.0,249,"Капуста белокочанная свежая, кг",0.00236,97.56,-2.4399999999999977,-0.005758399999999995
weekly_chain,2026-06-01 00:00:00,36,"Лук репчатый, кг",food,True,exact,1.0,349,"Лук репчатый, кг",0.00236,103.93,3.930000000000007,0.009274800000000017
weekly_chain,2026-06-01 00:00:00,37,"Свёкла столовая, кг",food,True,exact,1.0,574,"Свёкла столовая, кг",0.00077,101.25,1.25,0.0009624999999999999
weekly_chain,2026-06-01 00:00:00,38,"Морковь, кг",food,True,exact,1.0,382,"Морковь, кг",0.0021,98.04,-1.9599999999999937,-0.004115999999999987
weekly_chain,2026-06-01 00:00:00,39,"Огурцы свежие, кг",food,True,exact,1.0,435,"Огурцы свежие, кг",0.00468,108.87,8.870000000000005,0.041511600000000023
weekly_chain,2026-06-01 00:00:00,4,"Куры охлажденные и мороженые, кг",food,True,exact,1.0,333,"Куры охлажденные и мороженые, кг",0.00958,100.23,0.23000000000000398,0.002203400000000038
weekly_chain,2026-06-01 00:00:00,40,"Помидоры свежие, кг",food,True,exact,1.0,506,"Помидоры свежие, кг",0.00574,98.53,-1.4699999999999989,-0.008437799999999994
weekly_chain,2026-06-01 00:00:00,41,"Яблоки, кг",food,True,exact,1.0,753,"Яблоки, кг",0.00515,102.1,2.0999999999999943,0.01081499999999997
weekly_chain,2026-06-01 00:00:00,42,"Бананы, кг",food,True,exact,1.0,121,"Бананы, кг",0.00418,97.66,-2.3400000000000034,-0.009781200000000014
weekly_chain,2026-06-01 00:00:00,43,"Водка, л",food,True,exact,1.0,171,"Водка, л",0.0033,100.62,0.6200000000000045,0.002046000000000015
weekly_chain,2026-06-01 00:00:00,44,"Обед в столовой, кафе, закусочной (кроме столовой в организации), на 1 человека",food,True,exact,1.0,413,"Обед в столовой, кафе, закусочной (кроме столовой в организации), на 1 человека",0.00697,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,45,"Брюки для детей школьного возраста из джинсовой ткани, шт.",nonfood,True,exact,1.0,141,"Брюки для детей школьного возраста из джинсовой ткани, шт.",0.00098,100.25,0.25,0.000245
weekly_chain,2026-06-01 00:00:00,46,"Пеленки для новорожденных, шт.",nonfood,True,exact,1.0,458,"Пеленки для новорожденных, шт.",0.00019,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,47,"Костюм спортивный для детей школьного возраста, шт.",nonfood,True,exact,1.0,306,"Костюм спортивный для детей школьного возраста, шт.",0.00141,100.18,0.18000000000000682,0.00025380000000000964
weekly_chain,2026-06-01 00:00:00,48,"Майка, футболка мужская бельевая, шт.",nonfood,True,exact,1.0,351,"Майка, футболка мужская бельевая, шт.",0.00151,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,49,"Футболка детская, шт.",nonfood,True,exact,1.0,703,"Футболка детская, шт.",0.00049,99.45,-0.5499999999999972,-0.0002694999999999986
weekly_chain,2026-06-01 00:00:00,5,"Сосиски, сардельки, кг",food,True,exact,1.0,599,"Сосиски, сардельки, кг",0.00553,105.71,5.709999999999994,0.03157629999999997
weekly_chain,2026-06-01 00:00:00,50,"Носки мужские, пара",nonfood,True,exact,1.0,410,"Носки мужские, пара",0.00108,98.25,-1.75,-0.00189
weekly_chain,2026-06-01 00:00:00,51,"Колготки женские эластичные, шт.",nonfood,True,exact,1.0,272,"Колготки женские эластичные, шт.",0.00127,99.73,-0.269999999999996,-0.00034289999999999494
weekly_chain,2026-06-01 00:00:00,52,"Кроссовые туфли для детей, пара",nonfood,True,exact,1.0,319,"Кроссовые туфли для детей с верхом из искусственной кожи, пара",0.00156,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,53,"Кроссовые туфли для взрослых, пара",nonfood,True,exact,1.0,1032,"Кроссовые туфли для взрослых, пара",0.00518,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,54,"Мыло хозяйственное, 200 г",nonfood,True,exact,1.0,390,"Мыло хозяйственное, 200 г",0.00174,101.09,1.0900000000000034,0.0018966000000000059
weekly_chain,2026-06-01 00:00:00,55,"Порошок стиральный, кг",nonfood,True,exact,1.0,508,"Порошок стиральный, кг",0.00342,98.9,-1.0999999999999943,-0.00376199999999998
